【76V22】特別支援学校小学部・中学部学習指導要領（平成21年告示：平成27年一部改正）コード表　Ver 2.2,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,76,２   視覚障害者， 聴覚障害者， 肢体不自由者又は病弱者である児童又は生徒に対する教育を行う特別支援学校に就学する児童又は生徒のうち， 知的障害を併せ有する者については， 各教科又は各教科の目標及び内容に関する事項の一部を， 当該各教科に相当する第２章第１節第２款若しくは第２節第２款に示す知的障害者である児童又は生徒に対する教育を行う特別支援学校の各教科又は各教科の目標及び内容の一部によって， 替えることができるものとする。 なお，  この場合， 小学部の児童については， 外国語活動及び総合的な学習の時間を設けないこ とができるものとする。また， 中学部の生徒については，外国語科を設けないことができるものとする。,7600000252000000
総則,77,３  重複障害者のうち，障害の状態により特に必要がある場合には，各教科，道徳科，外国語活動若しくは特別活動の目標及び内容に関する事項の一部又は各教科，外国語活動若しくは総合的な学習の時間に替えて，自立活動を主として指導を行うことができるものとする。,7600000253000001
総則,78,４   障害のため通学して教育を受けることが困難な児童又は生徒に対して， 教員を派遣して教育を行う場合については， 上記１から３に示すところによることができるものとする。,7600000254000000
総則,79,５   重複障害者， 療養中の児童若しくは生徒又は障害のため通学して教育を受けることが困難な児童若しくは生徒に対して教員を派遣して教育を行う場合について， 特に必要があるときは，実情に応じた授業時数を適切に定めるものとする。,7600000255000000
各教科,80,第２章　各教科,76n0000000000000
各教科（小学部）,81,第１節　小学部,76n0000000000010
各教科（小学部）,82,"第１款　視覚障害者， 聴覚障害者， 肢体不自由者又は病弱者である児童に対する教育を行う特別支援学校
各教科の目標， 各学年の目標及び内容並びに指導計画の作成と内容の取扱いについては， 小学校学習指導要領第２章に示すものに準ずるものとする。
指導計画の作成と各学年にわたる内容の取扱いに当たっては， 児童の障害の状態や特性等を十分考慮するとともに，特に次の事項に配慮するものとする。",77n0000000000000
各教科（小学部）,83,１   視覚障害者である児童に対する教育を行う特別支援学校,77n0000100000000
各教科（小学部）,84,(1)児童が聴覚，触覚及び保有する視覚などを十分に活用して，具体的な事物・事象や動作と言葉とを結び付けて， 的確な概念の形成を図り， 言葉を正しく理解し活用できるようにすること。,77n0000110000000
各教科（小学部）,85,(2) 児童の視覚障害の状態等に応じて， 点字又は普通の文字の読み書きを系統的に指導し， 習熟させること。 なお， 点字を常用して学習する児童に対しても， 漢字・漢語の理解を促すため， 児童の発達の段階等に応じて適切な指導が行われるようにすること。,77n0000120000000
各教科（小学部）,86,(3)児童の視覚障害の状態等に応じて，指導内容を適切に精選し，基礎的・基本的な事項に重点を置くなどして指導すること。,77n0000130000000
各教科（小学部）,87,(4)触覚教材，拡大教材，音声教材等の活用を図るとともに，児童が視覚補助具やコンピュータ等の情報機器などの活用を通して， 容易に情報の収集や処理ができるようにするなど， 児童の視覚障害の状態等を考慮した指導方法を工夫すること。,77n0000140000000
各教科（小学部）,88,(5) 児童が空間や時間の概念を活用して場の状況や活動の過程等を的確に把握できるよう配慮し， 見通しをもって意欲的な学習活動を展開できるようにすること。,77n0000150000000
各教科（小学部）,89,２   聴覚障害者である児童に対する教育を行う特別支援学校,77n0000200000000
各教科（小学部）,90,(1) 体験的な活動を通して的確な言語概念の形成を図り， 児童の発達に応じた思考力の育成に努めること。,77n0000210000000
各教科（小学部）,91,(2) 児童の言語発達の程度に応じて， 主体的に読書に親しんだり， 書いて表現したりする態度を養うように工夫すること。,77n0000220000000
各教科（小学部）,92,(3)児童の聴覚障害の状態等に応じて，指導内容を適切に精選し，基礎的・基本的な事項に重点を置くなどして指導すること。,77n0000230000000
各教科（小学部）,93,(4) 補聴器等の利用により， 児童の保有する聴覚を最大限に活用し， 効果的な学習活動が展開できるようにすること。,77n0000240000000
各教科（小学部）,94,(5)視覚的に情報を獲得しやすい教材・教具やその活用方法等を工夫するとともに，  コンピュータ等の情報機器などを有効に活用し， 指導の効果を高めるようにすること。,77n0000250000000
各教科（小学部）,95,(6)児童の聴覚障害の状態等に応じ，音声，文字，手話等のコミュニケーション手段を適切に活用して， 意思の相互伝達が活発に行われるように指導方法を工夫すること。,77n0000260000000
各教科（小学部）,96,３   肢体不自由者である児童に対する教育を行う特別支援学校,77n0000300000000
各教科（小学部）,97,(1) 体験的な活動を通して表現する意欲を高めるとともに， 児童の言語発達の程度や身体の動きの状態に応じて， 考えたことや感じたことを表現する力の育成に努めること。,77n0000310000000
各教科（小学部）,98,(2) 児童の身体の動きの状態や生活経験の程度等を考慮して， 指導内容を適切に精選し， 基礎的・基本的な事項に重点を置くなどして指導すること。,77n0000320000000
各教科（小学部）,99,(3) 身体の動きやコミュニケーション等に関する内容の指導に当たっては， 特に自立活動における指導との密接な関連を保ち， 学習効果を一層高めるようにすること。,77n0000330000000
各教科（小学部）,100,(4) 児童の学習時の姿勢や認知の特性等に応じて， 指導方法を工夫すること。,77n0000340000000
各教科（小学部）,101,(5)児童の身体の動きや意思の表出の状態等に応じて，適切な補助用具や補助的手段を工夫するとともに，  コンピュータ等の情報機器などを有効に活用し，指導の効果を高めるようにすること。,77n0000350000000
各教科（小学部）,102,４   病弱者である児童に対する教育を行う特別支援学校,77n0000400000000
各教科（小学部）,103,(1) 児童の授業時数の制約や病気の状態等に応じて， 指導内容を適切に精選し， 基礎的・基本的な事項に重点を置くとともに， 各教科等相互の関連を図ったり， 指導内容の連続性に配慮した工夫を行ったりして， 効果的な学習活動が展開できるようにすること。,77n0000410000000
各教科（小学部）,104,(2) 健康状態の改善等に関する内容の指導に当たっては， 特に自立活動における指導との密接な関連を保ち， 学習効果を一層高めるようにすること。,77n0000420000000
各教科（小学部）,105,(3) 体験的な活動を伴う内容の指導に当たっては， 児童の病気の状態や学習環境に応じて指導方法を工夫し， 効果的な学習活動が展開できるようにすること。,77n0000430000000
各教科（小学部）,106,(4)児童の身体活動の制限の状態等に応じて，教材・教具や補助用具などを工夫するとともに，コンピュータ等の情報機器などを有効に活用し， 指導の効果を高めるようにすること。,77n0000440000000
各教科（小学部）,107,(5) 児童の病気の状態等を考慮し， 学習活動が負担過重とならないようにすること。,77n0000450000000
各教科（小学部）,108,第２款　知的障害者である児童に対する教育を行う特別支援学校,78n0000000000000
各教科（小学部）,109,第１　各教科の目標及び内容,78n0200000000000
生活,110,［生活］,7870200000000000
