【7BV11】特別支援学校高等部学習指導要領（平成21年告示）コード表　Ver 1.1,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,84,３   専門学科においては，専門教科について，すべての生徒に履修させる授業時数は，875単位時間を下らないものとする。,7G00000232300000
総則,85,４   ホームルーム活動の授業時数については， 原則として， 年間35単位時間以上とするものとする。,7G00000232400000
総則,86,５   生徒会活動及び学校行事については， 学校や生徒の実態に応じて， それぞれ適切な授業時数を充てるものとする。,7G00000232500000
総則,87,６   総合的な学習の時間に充てる授業時数は，各学校において，学校や生徒の実態に応じて，適切に定めるものとする。,7G00000232600000
総則,88,７   各学年における自立活動の時間に充てる授業時数は， 生徒の障害の状態に応じて， 適切に定めるものとする。,7G00000232700000
総則,89,８   各教科等のそれぞれの授業の１単位時間は，各学校において，生徒の実態及び各教科等の特質を考慮して適切に定めるものとする。 なお， 10分間程度の短い時間を単位として特定の教科の指導を行う場合において， 当該教科を担当する教師がその指導内容の決定や指導の成果の把握と活用等を責任をもって行う体制が整備されているときは， その時間を当該教科の授業時数に含めることができる。,7G00000232800000
総則,90,９   総合的な学習の時間における学習活動により， 特別活動の学校行事に掲げる各行事の実施と同様の成果が期待できる場合においては，総合的な学習の時間における学習活動をもって相当する特別活動の学校行事に掲げる各行事の実施に替えることができる。,7G00000232900000
総則,91,第４款　教育課程の編成・実施に当たって配慮すべき事項,7B00000240000000
総則,92,"１   選択履修の趣旨を生かした適切な教育課程編成
教育課程の編成に当たっては， 生徒の障害の状態， 特性及び進路等に応じた適切な各教科 ・科目 （知的障害者である生徒に対する教育を行う特別支援学校においては各教科。 この款及び第６款において同じ。）の履修ができるようにし，  このため，多様な各教科・科目を設け生徒が自由に選択履修することのできるよう配慮するものとする。 また， 教育課程の類型を設け，そのいずれかの類型を選択して履修させる場合においても， その類型において履修させることになっている各教科・科目以外の各教科・科目を履修させたり， 生徒が自由に選択履修することのできる各教科・科目を設けたりするものとする。",7B00000241000000
総則,93,２   各教科・科目等の内容等の取扱い,7B00000242000000
総則,94,(1) 学校においては， 第２章以下に示していない事項を加えて指導することができる。 また，第２章第１節第２款において準ずるものとしている高等学校学習指導要領第２章及び第３章並びに同節第３款から第９款までに示す各科目の内容の取扱いのうち内容の範囲や程度等を示す事項は， 当該科目を履修するすべての生徒に対して指導するものとする内容の範囲や程度等を示したものであり， 学校において必要がある場合には，  この事項にかかわらず指導することができる。 ただし，  これらの場合には， 第２章以下に示す各教科・科目， 特別活動及び自立活動 （知的障害者である生徒を教育する特別支援学校においては， 各教科， 道徳， 特別活動及び自立活動） の目標や内容の趣旨を逸脱したり， 生徒の負担過重になったりすることのないようにするものとする。,7B00000242100000
総則,95,(2) 第２章以下に示す各教科・科目， 特別活動及び自立活動の内容に掲げる事項の順序は， 特に示す場合を除き， 指導の順序を示すものではないので， 学校においては， その取扱いについて適切な工夫を加えるものとする。,7B00000242200000
総則,96,(3) 視覚障害者， 聴覚障害者， 肢体不自由者又は病弱者である生徒を教育する特別支援学校においては， あらかじめ計画して， 各教科・科目の内容及び総合的な学習の時間における学習活動を学期の区分に応じて単位ごとに分割して指導することができる。,7C00000242300000
総則,97,(4) 学校においては， 特に必要がある場合には， 第２章に示す教科及び科目の目標の趣旨を損なわない範囲内で， 各教科・科目及び各段階の内容に関する事項について， 基礎的・基本的な事項に重点を置くなどその内容を適切に選択して指導することができる。,7B00000242400000
総則,98,(5) 知的障害者である生徒に対する教育を行う特別支援学校において， 各教科の指導に当たっては， 各教科の各段階に示す内容を基に， 生徒の知的障害の状態や経験等に応じて， 具体的に指導内容を設定するものとする。 また， 各教科， 道徳， 特別活動及び自立活動の全部又は一部を合わせて指導を行う場合には， 各教科の各段階， 道徳， 特別活動及び自立活動に示す内容を基に， 生徒の知的障害の状態や経験等に応じて， 具体的に指導内容を設定するものとする。,7G00000242500000
総則,99,"３   指導計画の作成等に当たって配慮すべき事項
各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし，全体として，調和のとれた具体的な指導計画を作成するものとする。",7B00000243000000
総則,100,(1) 各教科に属する科目相互や他の教科に属する科目との関連 （知的障害者である生徒に対する教育を行う特別支援学校においては各教科相互の関連） を図り， 発展的， 系統的な指導ができるようにすること。,7B00000243100000
総則,101,(2) 各教科・科目の指導内容については， 各事項のまとめ方及び重点の置き方に適切な工夫を加えて， 効果的な指導ができるようにすること。,7B00000243200000
総則,102,"(3) 各教科・科目等 （知的障害者である生徒に対する教育を行う特別支援学校においては各教科等。  ５の(3), (7)及び(11)において同じ。） の指導に当たっては， 個々の生徒の実態を的確に把握し， 個別の指導計画を作成する こ と。 また， 個別の指導計画に基づいて行われた学習の状況や結果を適切に評価し， 指導の改善に努めること。",7B00000243300000
総則,103, (4) 視覚障害者， 聴覚障害者， 肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校においては， 学校や生徒の実態等に応じ， 必要がある場合には， 例えば次のような工夫を行い， 義務教育段階での学習内容の確実な定着を図るようにすること。,7C00000243400000
総則,104,ア  各教科・科目の指導に当たり， 義務教育段階での学習内容の確実な定着を図るための学習機会を設けること。,7C00000243410000
総則,105,イ   義務教育段階での学習内容の確実な定着を図りながら， 必履修教科・科目の内容を十分に習得させることができるよう， その単位数を標準単位数の標準の限度を超えて増加して配当すること。,7C00000243420000
総則,106,ウ  義務教育段階での学習内容の確実な定着を図ることを目標とした学校設定科目等を履修させた後に，必履修教科・科目を履修させるようにすること。,7C00000243430000
総則,107,(5) 全教師が協力して道徳教育を展開するため， 第１款の２に示す道徳教育の目標を踏まえ，指導の方針や重点を明確にして， 学校の教育活動全体を通じて行う道徳教育について， その全体計画を作成すること。,7B00000243500000
総則,108,(6) 学校がその目的を達成するため， 地域や学校の実態等に応じ， 家庭や地域の人々の協力を得るなど家庭や地域社会との連携を深めること。 また， 学校相互の連携や交流を図ることにも努めること。 特に， 生徒の経験を広めて積極的な態度を養い， 社会性や豊かな人間性をはぐくむために， 学校の教育活動全体を通じて， 高等学校の生徒などと交流及び共同学習を計画的， 組織的に行う と ともに， 地域の人々などと活動を共にする機会を積極的に設けること。,7B00000243600000
総則,109,４   職業教育に関して配慮すべき事項,7B00000244000000
総則,110,(1)普通科においては，地域や学校の実態，生徒の特性，進路等を考慮し，必要に応じて，適切な職業に関する各教科・科目の履修の機会の確保について配慮するものとする。,7B00000244100000
